iter	Passed	Remaining
885	1090	140
886	1091	139
887	1092	137
888	1093	136
889	1094	135
890	1095	134
891	1096	132
892	1097	131
893	1098	130
894	1099	128
895	1100	127
896	1101	126
897	1102	125
898	1103	123
899	1104	122
900	1105	121
901	1106	120
902	1107	118
903	1108	117
904	1109	116
905	1110	115
906	1111	113
907	1112	112
908	1112	111
909	1113	110
910	1114	108
911	1115	107
912	1116	106
913	1117	105
914	1118	103
915	1119	102
916	1120	101
917	1121	100
918	1122	98
919	1123	97
920	1124	96
921	1125	95
922	1126	93
923	1127	92
924	1128	91
925	1129	90
926	1130	88
927	1130	87
928	1132	86
929	1133	85
930	1134	84
931	1135	82
932	1136	81
933	1137	80
934	1137	79
935	1139	77
936	1140	76
937	1140	75
938	1141	74
939	1142	72
940	1143	71
941	1144	70
942	1145	69
943	1146	68
944	1147	66
945	1148	65
946	1149	64
947	1150	63
948	1151	61
949	1152	60
950	1153	59
951	1154	58
952	1155	56
953	1156	55
954	1157	54
955	1157	53
956	1159	52
957	1160	50
958	1161	49
959	1162	48
960	1163	47
961	1165	46
962	1166	44
963	1166	43
964	1167	42
965	1168	41
966	1169	39
967	1170	38
968	1171	37
969	1172	36
970	1173	35
971	1174	33
972	1174	32
973	1175	31
974	1177	30
975	1178	28
976	1179	27
977	1180	26
978	1180	25
979	1181	24
980	1182	22
981	1183	21
982	1184	20
983	1185	19
984	1186	18
985	1187	16
986	1188	15
987	1189	14
988	1190	13
989	1191	12
990	1192	10
991	1193	9
992	1194	8
993	1195	7
994	1196	6
995	1197	4
996	1198	3
997	1199	2
998	1200	1
999	1201	0
